,Unnamed: 0,travel_time,itinerary,price,airlines,provider,duplicate
75,75,1405.0,IB7328||AA2303|AA6196,638.92,AA|IB,Baseline,False
76,76,1394.0,BA1528||AA0293|AA6192,638.92,AA|BA,Baseline,False
77,77,1340.0,IB7399||AA1159|AA6196,638.92,AA|IB,Common,True
78,78,1358.0,IB7399||AA1199|AA6150,638.92,AA|IB,Common,True
79,79,1405.0,BA0209||AA2303|AA6196,638.92,AA|BA,Baseline,False
80,80,1362.0,IB7399||AA1618|AA6171,638.92,AA|IB,Common,True
81,81,1420.0,IB7399||AA1947|AA6163,638.92,AA|IB,Baseline,False
82,82,1379.0,IB7399||AA0293|AA6192,638.92,AA|IB,Baseline,False
83,83,1300.0,BA0209||AA0029|AA6163,638.92,AA|BA,Common,True
84,84,1343.0,BA0209||AA0251|AA6137,638.92,AA|BA,Common,True
85,85,1297.0,IB7399||AA0225|AA6200,638.92,AA|IB,Common,True
86,86,1340.0,BA0211||AA1159|AA6196,638.92,AA|BA,Common,True
87,87,1379.0,BA0209||AA0293|AA6192,638.92,AA|BA,Common,True
88,88,1343.0,IB7399||AA0251|AA6137,638.92,AA|IB,Common,True
89,89,1297.0,BA0209||AA0225|AA6200,638.92,AA|BA,Common,True
90,90,1420.0,IB7328||AA1947|AA6163,638.92,AA|IB,Baseline,False
91,91,1420.0,IB4228||AA2303|AA6196,638.92,AA|IB,Baseline,False
92,92,1355.0,BA1528||AA1159|AA6196,638.92,AA|BA,Common,True
93,93,1358.0,BA0211||AA1199|AA6150,638.92,AA|BA,Common,True
94,94,1373.0,BA1528||AA1199|AA6150,638.92,AA|BA,Common,True
95,95,1405.0,BA0211||AA2303|AA6196,638.92,AA|BA,Baseline,False
96,96,1343.0,BA0211||AA0251|AA6137,638.92,AA|BA,Common,True
97,97,1312.0,BA1528||AA0225|AA6200,638.92,AA|BA,Common,True
98,98,1300.0,BA0211||AA0029|AA6163,638.92,AA|BA,Common,True
99,99,1373.0,IB4228||AA1199|AA6150,638.92,AA|IB,Common,True
100,100,1358.0,BA1528||AA0251|AA6137,638.92,AA|BA,Common,True
101,101,1312.0,IB4228||AA0225|AA6200,638.92,AA|IB,Common,True
102,102,1358.0,IB4228||AA0251|AA6137,638.92,AA|IB,Common,True
103,103,1315.0,BA1528||AA0029|AA6163,638.92,AA|BA,Common,True
104,104,1394.0,IB4228||AA0293|AA6192,638.92,AA|IB,Baseline,False
105,105,1358.0,BA0209||AA1199|AA6150,638.92,AA|BA,Common,True
106,106,1377.0,IB4228||AA1618|AA6171,638.92,AA|IB,Common,True
107,107,1420.0,BA1528||AA2303|AA6196,638.92,AA|BA,Baseline,False
108,108,1355.0,IB4228||AA1159|AA6196,638.92,AA|IB,Common,True
109,109,1358.0,IB7328||AA1199|AA6150,638.92,AA|IB,Common,True
110,110,1377.0,BA1528||AA1618|AA6171,638.92,AA|BA,Common,True
111,111,1297.0,BA0211||AA0225|AA6200,638.92,AA|BA,Common,True
112,112,1420.0,BA0211||AA1947|AA6163,638.92,AA|BA,Baseline,False
113,113,1300.0,IB7399||AA0029|AA6163,638.92,AA|IB,Common,True
114,114,1315.0,IB4228||AA0029|AA6163,638.92,AA|IB,Common,True
115,115,2324.0,AA6158|AA1112||AY4044|AY5760,642.42,AA|AY,Baseline,False
116,116,1343.0,AA6124||AA0251|AA6137,667.92,AA,Common,True
117,117,1379.0,AA6124||AA0293|AA6192,667.92,AA,Common,True
118,118,1300.0,AA6124||AA0029|AA6163,667.92,AA,Common,True
119,119,1340.0,AA6162||AA1159|AA6196,667.92,AA,Common,True
120,120,1358.0,AA6162||AA1199|AA6150,667.92,AA,Common,True
121,121,1362.0,AA6162||AA1618|AA6171,667.92,AA,Common,True
122,122,1420.0,AA6162||AA1947|AA6163,667.92,AA,Common,True
123,123,1297.0,AA6162||AA0225|AA6200,667.92,AA,Common,True
124,124,1405.0,AA6162||AA2303|AA6196,667.92,AA,Common,True
125,125,1343.0,AA6162||AA0251|AA6137,667.92,AA,Common,True
126,126,1379.0,AA6162||AA0293|AA6192,667.92,AA,Common,True
127,127,1300.0,AA6162||AA0029|AA6163,667.92,AA,Common,True
128,128,1377.0,AA0039||AA1618|AA6171,667.92,AA,Common,True
129,129,1297.0,AA6124||AA0225|AA6200,667.92,AA,Common,True
130,130,1355.0,AA0039||AA1159|AA6196,667.92,AA,Common,True
131,131,1373.0,AA0039||AA1199|AA6150,667.92,AA,Common,True
132,132,1312.0,AA0039||AA0225|AA6200,667.92,AA,Common,True
133,133,1420.0,AA0039||AA2303|AA6196,667.92,AA,Common,True
134,134,1358.0,AA0039||AA0251|AA6137,667.92,AA,Common,True
135,135,1394.0,AA0039||AA0293|AA6192,667.92,AA,Common,True
136,136,1315.0,AA0039||AA0029|AA6163,667.92,AA,Common,True
137,137,1340.0,AA6124||AA1159|AA6196,667.92,AA,Common,True
138,138,1358.0,AA6124||AA1199|AA6150,667.92,AA,Common,True
139,139,1362.0,AA6124||AA1618|AA6171,667.92,AA,Common,True
140,140,1420.0,AA6124||AA1947|AA6163,667.92,AA,Common,True
141,141,1405.0,AA6124||AA2303|AA6196,667.92,AA,Common,True
142,142,1308.0,AY5408||AA0251|AA6141,692.92,AA|AY,Common,True
143,143,1360.0,AY5509||AA0376|AA6216,692.92,AA|AY,Common,True
144,144,1302.0,AY5509||AA2572|AA6145,692.92,AA|AY,Common,True
145,145,1308.0,AY5509||AA0251|AA6141,692.92,AA|AY,Common,True
146,146,1360.0,AY5408||AA0376|AA6216,692.92,AA|AY,Common,True
147,147,1375.0,AY4029||AA0376|AA6216,692.92,AA|AY,Common,True
148,148,1317.0,AY4029||AA2572|AA6145,692.92,AA|AY,Common,True
149,149,1323.0,AY4029||AA0251|AA6141,692.92,AA|AY,Common,True
150,150,1302.0,AY5408||AA2572|AA6145,692.92,AA|AY,Common,True
151,151,1405.0,AY4029||AA1506|AA6137,697.42,AA|AY,Baseline,False
152,152,1390.0,AY5408||AA1506|AA6137,697.42,AA|AY,Baseline,False
153,153,1390.0,AY5509||AA1506|AA6137,697.42,AA|AY,Baseline,False
154,154,2395.0,AZ0209|AZ0630||AZ0631|AZ0204,701.64,AZ,Common,True
155,155,1365.0,AY4029||AA1276|AA0020,702.92,AA|AY,Common,True
156,156,1350.0,AY5408||AA1276|AA0020,702.92,AA|AY,Common,True
157,157,1416.0,AY5408||AA2550|AA0080,702.92,AA|AY,Baseline,False
158,158,1350.0,AY5509||AA1276|AA0020,702.92,AA|AY,Common,True
159,159,2063.0,UA0879|UA2146||UA0600|UA0110,707.42,UA,Common,True
160,160,1394.0,AY5408||AA1803|AA6173,747.42,AA|AY,Baseline,False
161,161,1394.0,AY5509||AA1803|AA6173,747.42,AA|AY,Baseline,False
162,162,1409.0,AY4029||AA1803|AA6173,747.42,AA|AY,Baseline,False
163,163,1640.0,OS0458|OS0097||OS7712|OS7850,756.64,OS,Common,True
164,164,1409.0,BA1528||AA1803|AA6173,758.42,AA|BA,Baseline,False
165,165,1394.0,BA0209||AA1803|AA6173,758.42,AA|BA,Baseline,False
166,166,1409.0,IB4228||AA1803|AA6173,758.42,AA|IB,Baseline,False
167,167,1394.0,IB7328||AA1803|AA6173,758.42,AA|IB,Baseline,False
168,168,1394.0,IB7399||AA1803|AA6173,758.42,AA|IB,Baseline,False
169,169,2217.0,DL4376|DL1415||DL1829|DL0018,782.42,DL,Baseline,False
170,170,1390.0,AY5509||AA2469|AA0078,782.92,AA|AY,Baseline,False
171,171,1254.0,AY5408||AA2457|AA0098,782.92,AA|AY,Common,True
172,172,1305.0,AY5408||AA2303|AA0046,782.92,AA|AY,Common,True
173,173,1095.0,AY4029||AY5405,782.92,AY,Common,True
174,174,1405.0,AY4029||AA2469|AA0078,782.92,AA|AY,Baseline,False
175,175,1269.0,AY4029||AA2457|AA0098,782.92,AA|AY,Common,True
176,176,1095.0,AA0039||AA6123,782.92,AA,Common,True
177,177,1254.0,AY5509||AA2457|AA0098,782.92,AA|AY,Common,True
178,178,1305.0,AY5509||AA2303|AA0046,782.92,AA|AY,Common,True
179,179,1390.0,AY5408||AA2469|AA0078,782.92,AA|AY,Baseline,False
180,180,1320.0,AY4029||AA2303|AA0046,782.92,AA|AY,Common,True
181,181,1409.0,AA0039||AA1803|AA6173,787.42,AA,Common,True
182,182,1394.0,AA6124||AA1803|AA6173,787.42,AA,Common,True
183,183,1394.0,AA6162||AA1803|AA6173,787.42,AA,Common,True
184,184,1595.0,EI0155|EI0141||EI0140|EI0286,789.09,EI,Baseline,False
185,185,1670.0,VS0005||VS1754|VS4018,797.92,VS,Common,True
186,186,1095.0,BA1528||BA0210,803.92,BA,Common,True
187,187,1095.0,IB4228||IB7329,803.92,IB,Common,True
188,188,1765.0,KL6076|KL5480||KL5942|KL4801,804.42,KL,Baseline,False
189,189,1358.0,AY4029||AA2569|AA6240,825.62,AA|AY,Common,True
190,190,1343.0,AY5408||AA2569|AA6240,825.62,AA|AY,Common,True
191,191,1343.0,AY5509||AA2569|AA6240,825.62,AA|AY,Common,True
192,192,1575.0,AF1681|AF0090||AF0099|AF1780,854.54,AF,Baseline,False
193,193,1090.0,AA0039||AA6159,922.92,AA,Common,True
194,194,1075.0,AA6162||AA6159,922.92,AA,Common,True
195,195,1410.0,AY4029||AA0112|AA6291,933.02,AA|AY,Baseline,False
196,196,1395.0,AY5408||AA0112|AA6291,933.02,AA|AY,Baseline,False
197,197,1395.0,AY5509||AA0112|AA6291,933.02,AA|AY,Baseline,False
198,198,1080.0,AA6160||AA6123,942.92,AA,Common,True
199,199,1075.0,AA6160||AA6159,942.92,AA,Common,True
47,47,1362.0,BA0211||AA1618|AA6171,638.92,AA|BA,Alternate,False
50,50,1379.0,BA0211||AA0293|AA6192,638.92,AA|BA,Alternate,False
62,62,1430.0,AA6162||AA0029|AA6200,667.92,AA,Alternate,False
64,64,1464.0,AA0039||AA2552|AA6171,667.92,AA,Alternate,False
