,Unnamed: 0,travel_time,itinerary,price,airlines,provider
78,78,1358.0,IB7399||AA1199|AA6150,638.92,AA|IB,Baseline
79,79,1405.0,BA0209||AA2303|AA6196,638.92,AA|BA,Baseline
80,80,1362.0,IB7399||AA1618|AA6171,638.92,AA|IB,Baseline
81,81,1420.0,IB7399||AA1947|AA6163,638.92,AA|IB,Baseline
82,82,1379.0,IB7399||AA0293|AA6192,638.92,AA|IB,Baseline
83,83,1300.0,BA0209||AA0029|AA6163,638.92,AA|BA,Baseline
84,84,1343.0,BA0209||AA0251|AA6137,638.92,AA|BA,Baseline
85,85,1297.0,IB7399||AA0225|AA6200,638.92,AA|IB,Baseline
86,86,1340.0,BA0211||AA1159|AA6196,638.92,AA|BA,Baseline
87,87,1379.0,BA0209||AA0293|AA6192,638.92,AA|BA,Baseline
88,88,1343.0,IB7399||AA0251|AA6137,638.92,AA|IB,Baseline
89,89,1297.0,BA0209||AA0225|AA6200,638.92,AA|BA,Baseline
90,90,1420.0,IB7328||AA1947|AA6163,638.92,AA|IB,Baseline
91,91,1420.0,IB4228||AA2303|AA6196,638.92,AA|IB,Baseline
92,92,1355.0,BA1528||AA1159|AA6196,638.92,AA|BA,Baseline
93,93,1358.0,BA0211||AA1199|AA6150,638.92,AA|BA,Baseline
94,94,1373.0,BA1528||AA1199|AA6150,638.92,AA|BA,Baseline
95,95,1405.0,BA0211||AA2303|AA6196,638.92,AA|BA,Baseline
96,96,1343.0,BA0211||AA0251|AA6137,638.92,AA|BA,Baseline
97,97,1312.0,BA1528||AA0225|AA6200,638.92,AA|BA,Baseline
98,98,1300.0,BA0211||AA0029|AA6163,638.92,AA|BA,Baseline
99,99,1373.0,IB4228||AA1199|AA6150,638.92,AA|IB,Baseline
100,100,1358.0,BA1528||AA0251|AA6137,638.92,AA|BA,Baseline
101,101,1312.0,IB4228||AA0225|AA6200,638.92,AA|IB,Baseline
102,102,1358.0,IB4228||AA0251|AA6137,638.92,AA|IB,Baseline
103,103,1315.0,BA1528||AA0029|AA6163,638.92,AA|BA,Baseline
104,104,1394.0,IB4228||AA0293|AA6192,638.92,AA|IB,Baseline
105,105,1358.0,BA0209||AA1199|AA6150,638.92,AA|BA,Baseline
106,106,1377.0,IB4228||AA1618|AA6171,638.92,AA|IB,Baseline
107,107,1420.0,BA1528||AA2303|AA6196,638.92,AA|BA,Baseline
108,108,1355.0,IB4228||AA1159|AA6196,638.92,AA|IB,Baseline
109,109,1358.0,IB7328||AA1199|AA6150,638.92,AA|IB,Baseline
110,110,1377.0,BA1528||AA1618|AA6171,638.92,AA|BA,Baseline
111,111,1297.0,BA0211||AA0225|AA6200,638.92,AA|BA,Baseline
112,112,1420.0,BA0211||AA1947|AA6163,638.92,AA|BA,Baseline
113,113,1300.0,IB7399||AA0029|AA6163,638.92,AA|IB,Baseline
114,114,1315.0,IB4228||AA0029|AA6163,638.92,AA|IB,Baseline
115,115,2324.0,AA6158|AA1112||AY4044|AY5760,642.42,AA|AY,Baseline
116,116,1343.0,AA6124||AA0251|AA6137,667.92,AA,Baseline
117,117,1379.0,AA6124||AA0293|AA6192,667.92,AA,Baseline
118,118,1300.0,AA6124||AA0029|AA6163,667.92,AA,Baseline
119,119,1340.0,AA6162||AA1159|AA6196,667.92,AA,Baseline
120,120,1358.0,AA6162||AA1199|AA6150,667.92,AA,Baseline
121,121,1362.0,AA6162||AA1618|AA6171,667.92,AA,Baseline
122,122,1420.0,AA6162||AA1947|AA6163,667.92,AA,Baseline
123,123,1297.0,AA6162||AA0225|AA6200,667.92,AA,Baseline
124,124,1405.0,AA6162||AA2303|AA6196,667.92,AA,Baseline
125,125,1343.0,AA6162||AA0251|AA6137,667.92,AA,Baseline
126,126,1379.0,AA6162||AA0293|AA6192,667.92,AA,Baseline
127,127,1300.0,AA6162||AA0029|AA6163,667.92,AA,Baseline
128,128,1377.0,AA0039||AA1618|AA6171,667.92,AA,Baseline
129,129,1297.0,AA6124||AA0225|AA6200,667.92,AA,Baseline
130,130,1355.0,AA0039||AA1159|AA6196,667.92,AA,Baseline
131,131,1373.0,AA0039||AA1199|AA6150,667.92,AA,Baseline
132,132,1312.0,AA0039||AA0225|AA6200,667.92,AA,Baseline
133,133,1420.0,AA0039||AA2303|AA6196,667.92,AA,Baseline
134,134,1358.0,AA0039||AA0251|AA6137,667.92,AA,Baseline
